"CITY","COUNTRY","CONTINENT","SYSTEM","OPENING","NETWORK_LENGTH","STATIONS","STATIONS1","LINES","AVG_STATION_DISTANCE","AVG_LINE_LENGTH","STATIONS_PER_LINE","DAILY_RIDERSHIP","RIDERSHIP_PER_KM","ANNUAL_RIDERSHIP","RIDERSHIP_YEAR","FARE","TRACKS","GAUGE","POWER_SUPPLY","VOLTAGE","DRIVERLESS","RUBBER_TYRED","DRIVERLESS_SINCE","PLATFORM_SCREEN_DOORS","AIRCON_TRAINS","WALK_THROUGH","REMARKS"
"Mashhad","Iran","Asia","","10 Oct 2011","23.5 km",24,24,1,"1,022 m",23.5,24,"","","",NA,"","","","","","","",NA,"","","",""
"Mecca","Saudi Arabia","Asia","Metro","13 Nov 2010","18.1 km",9,9,1,"2,263 m",18.1,9,"","","",NA,"","right","1435","third rail","1500","","",NA,"yes","yes","yes",""
"Medellin","Colombia","America","Metro","30 Nov 1995","28.8 km",26,25,2,"1,200 m",14.4,13,"466,000","16,200","170 million",2011,"","","1435","overhead wire","1500","","",NA,"","","","Metro Cable not included, 4 stations"
"Mexico City","Mexico","America","Metro","5 Sep 1969","180.0 km",195,163,12,"984 m",15,16.3,"4.41 million","24,500","1,609 million",2012,"0.14 EUR","right","1995","third rail","750","","yes",NA,"","","","ONLY PASSENGER SERVICE KM COUNTED"
"Miami","USA","America","Metrorail","21 May 1984","39.8 km",23,23,1,"1,809 m",39.8,23,"49,300","1,240","18 million",2011,"1.66 EUR","right","1435","third rail","750","downtown people mover, rubber-tyred","Downtown people mover",1986,"","yes","","Metromover not included (20 stations, 7 km)"
"Milan","Italy","Europe","Metropolitana","1 Nov 1964","96.9 km",113,105,4,"889 m",24.2,28.3,"899,000","9,270","328 million",2007,"1.00 EUR","right","1435","overhead wire, third rail (line M1)","1500, 750 (line M1)","line M5","",2013,"line M5","yes","yes",""
"Minsk","Belarus","Europe","Metro","26 Jun 1984","37.2 km",29,28,2,"1,379 m",18.6,14.5,"770,000","20,700","281 million",2012,"","right","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov"
"Monterrey","Mexico","America","Metro","25 Apr 1991","31.5 km",32,31,2,"1,050 m",15.8,16,"378,000","12,000","138 million",2009,"","right","","","","","yes",NA,"","","",""
"Montreal","Canada","America","Metro","14 Oct 1966","69.2 km",73,68,4,"1,003 m",17.3,18.3,"600,000","8,670","219 million",2006,"1.67 EUR","right","1994","third rail","750","","yes",NA,"","","",""
"Moscow","Russia","Europe","Metro","15 May 1935","333.6 km",200,158,12,"1,774 m",27.8,16.7,"6.55 million","19,600","2,389 million",2011,"0.50 EUR","right","1520","third rail","825","","",NA,"","lines 3, 5 since 2009","","Monorail (6 stations, 4.7 km) not included."
"Muelheim","Germany","Europe","Stadtbahn","3 Nov 1979","9.0 km",13,12,2,"819 m",4.5,6.5,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","","","Rhein-Ruhr Stadtbahn Album 1"
