"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"User rating","system image","Europe","United Kingdom","Swansea",NA,NA,"",NA,1
"User rating","system image","Northern America","Canada","Calgary",NA,NA,"",NA,1
"User rating","system image","Northern America","Canada","Gatineau",NA,NA,"",NA,1
"User rating","system image","Northern America","Canada","Mississauga","Good",2015,"www.mississauga.ca",7,0
"User rating","system image","Northern America","Canada","Ottawa","Excellent",NA,"www.nbrti.org",NA,0
"User rating","system image","Northern America","Canada","Winnipeg",NA,NA,"",NA,1
"User rating","system image","Northern America","Canada","Quebec",NA,NA,"",NA,1
"User rating","system image","Northern America","Canada","York Regional Municipality",NA,NA,"",NA,1
"User rating","system image","Northern America","United States","Albuquerque",NA,NA,"",NA,1
"User rating","system image","Northern America","United States","Alexandria - Arlington",NA,NA,"",NA,1
"User rating","system image","Northern America","United States","Cleveland","Excellent",2009,"www.nbrti.org",13,0
"User rating","system image","Northern America","United States","Eugene","Good",2011,"www.ltd.org",11,0
