"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Latin America","Argentina","Buenos Aires","Sur - Ramal Fernandéz de la Cruz",13.7,250000,"None",0,0,13.7,"",NA,NA,"No","Partial","761.1",NA,2013
"Latin America","Argentina","Córdoba","Sabattini",5.3,58000,"None",0,0,5.3,"",NA,NA,"","None","588.9",NA,2014
"Latin America","Argentina","Rosario","Córdoba",1.7,NA,"None",0,0,1.7,"15",NA,NA,"No","None","283.3",NA,2012
"Latin America","Argentina","Rosario","San Lorenzo - Laprida",3.2,NA,"None",0,0,3.2,"15",NA,NA,"No","None","400",NA,2012
"Latin America","Argentina","Rosario","Santa Fé - Maipú",4.7,NA,"None",0,0,4.7,"15",NA,NA,"No","None","293.8",NA,2012
"Latin America","Brazil","Belém","Almirante Barroso",6,120000,"None",NA,0,6,"27.7",NA,NA,"","","",NA,2014
"Latin America","Brazil","Belo Horizonte","Amazonas",7.9,380000,"None",0,0,7.9,"18",405,35000,"No","None","343.5",NA,1982
"Latin America","Brazil","Belo Horizonte","Boulevard Arrudas",1.4,NA,"None",0,0,1.4,"",NA,NA,"No","None","175",NA,2007
"Latin America","Brazil","Belo Horizonte","MOVE - Antônio Carlos",14.7,500000,"None",0,0,13.6,"16",500,NA,"Yes","All","565.4",NA,2007
"Latin America","Brazil","Belo Horizonte","MOVE - Área Central",1.3,500000,"None",0,0,1.3,"19",19,NA,"Yes","All","260",NA,2014
"Latin America","Brazil","Belo Horizonte","MOVE - Cristiano Machado",7.1,500000,"None",0,0,6.45,"19",9,3500,"Yes","All","788.9",NA,1975
"Latin America","Brazil","Belo Horizonte","Nossa Senhora do Carmo",0.9,125000,"None",0,0,0.9,"16",127,5500,"No","None","225",NA,2009
"Latin America","Brazil","Belo Horizonte","Pedro II",6,NA,"None",0,0,6,"",NA,NA,"No","None","750",NA,2014
"Latin America","Brazil","Blumenau"," Av. Presidente Castelo Branco (Beira-Rio)",1.3,45000,"None",0,0,1.3,"16",NA,NA,"No","All","750",NA,2011
"Latin America","Brazil","Blumenau","Av. Martin Luther",0.9,12000,"None",0,0,0.9,"25",NA,NA,"No","None","300",NA,2011
"Latin America","Brazil","Blumenau","Rua 2 de Setembro",1.9,NA,"None",0,1.9,0,"24",NA,NA,"No","None","633",NA,2012
"Latin America","Brazil","Blumenau","Rua 7 de Setembro",1.8,25000,"None",0,0,1.8,"18",NA,NA,"No","All","900",NA,2011
"Latin America","Brazil","Blumenau","Rua das Palmeiras",0.9,NA,"None",0,0.9,0,"15",NA,NA,"No","None","300",NA,2012
"Latin America","Brazil","Blumenau","Rua Eng Paul Werner",1.1,NA,"None",0,0,1.1,"24",NA,NA,"No","None","550",NA,2011
"Latin America","Brazil","Blumenau","Rua São Paulo - Antônio da Veiga (Castelo Branco)",1.3,NA,"None",0,0,1.3,"18",NA,NA,"No","None","433",NA,2012
"Latin America","Brazil","Blumenau","Rua São Paulo - Iguaçu (Henrique Classen)",1.3,NA,"None",0,0,1.3,"25",NA,NA,"No","None","333",NA,2012
"Latin America","Brazil","Brasília","Estrada Parque Núcleo Bandeirante",24,20000,"All",0,0,24,"",NA,NA,"No","None","450",NA,2011
"Latin America","Brazil","Brasília","Estrada Parque Taguatinga-Guará",13,11000,"All",0,0,13,"",NA,NA,"No","None","675",NA,2012
"Latin America","Brazil","Brasília","Expresso DF Sul",36.2,270000,"Partial",27.4,0,0,"57.2",NA,NA,"Yes","All","4525",NA,2014
"Latin America","Brazil","Brasília","Setor Policial",3.5,NA,"None",0,0,3.5,"",NA,NA,"No","None","430",NA,2012
"Latin America","Brazil","Brasília","W3 Norte",7.2,NA,"None",0,0,7.2,"",200,NA,"No","None","350",NA,2012
"Latin America","Brazil","Brasília","W3 Sul",7.2,NA,"None",0,0,7.2,"",NA,NA,"No","None","350",NA,2012
"Latin America","Brazil","Campinas","Av. Amoreiras",4.1,NA,"All",0,0,4.1,"",NA,NA,"No","None","683.3",NA,1986
"Latin America","Brazil","Campinas","Av. João Jorge",0.65,40000,"All",0,0,0.65,"",122,NA,"No","None","650",NA,1986
"Latin America","Brazil","Campinas","Corredor Central",8.6,160000,"None",0,0,8.6,"",NA,NA,"No","None","338.5",NA,2010
"Latin America","Brazil","Campo Grande","Av. Calógeras",1.2,NA,"None",0,0,1.2,"17.5",NA,NA,"No","Partial","",NA,1987
