"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Europe","Czech Republic","Prague","Calculated using annual demand and fare","COST - European Cooperation in Science and Technology","data.worldbank.org","ltaacademy.gov.sg","ltaacademy.gov.sg","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","appsso.eurostat.ec.europa.eu","www.czso.cz","www.myczechrepublic.com","","COST - European Cooperation in Science and Technology","",""
"Europe","Finland","Helsinki","Calculated using annual demand and fare","COST - European Cooperation in Science and Technology","data.worldbank.org","www.epomm.eu","www.epomm.eu","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","en.wikipedia.org","vrk.fi","www.hsl.fi","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","COST - European Cooperation in Science and Technology, 2006 change the brand"
"Europe","France","Belfort","Calculated using annual demand and fare","info.optymo.fr","data.worldbank.org","","","info.optymo.fr","info.optymo.fr","","www.insee.fr","www.insee.fr","info.optymo.fr","Calculated using system length and stations","info.optymo.fr","","info.optymo.fr"
"Europe","France","Caen","Calculated using annual demand and fare","www.nbrti.org","data.worldbank.org","","","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","","www.insee.fr","www.insee.fr","www.twisto.fr","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","www.nbrti.org","","www.nbrti.org"
"Europe","France","Cannes","","","data.worldbank.org","","","","www.silteplait.info","","www.insee.fr","www.insee.fr","www.palmbus.fr","Calculated using system length and stations","www.silteplait.info","","www.silteplait.info"
"Europe","France","Châlon-sur-Saône","Calculated using annual demand and fare","www.info-chalon.com","data.worldbank.org","","","www.mobilicites.com","www.mobilicites.com","","www.insee.fr","www.insee.fr","www.buszoom.com","Calculated using system length and stations","www.mobilicites.com",NA,"www.ville-rail-transports.com"
"Europe","France","Douai","Calculated using annual demand and fare","Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl","data.worldbank.org","","","Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl","","","www.insee.fr","www.insee.fr","www.eveole.com","Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl","Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl","","Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl"
"Europe","France","Evry","","","data.worldbank.org","","","www.bus-tice.com","","","fr.wikipedia.org","www.evry.fr","www.bus-tice.com","Calculated using system length and stations","www.bus-tice.com","","snotice.fr"
"Europe","France","La Rochelle","Calculated using annual demand and fare","www.ville-larochelle.fr","data.worldbank.org","","","","","","www.insee.fr","www.insee.fr","yelo.agglo-larochelle.fr","","www.ville-larochelle.fr","","www.ville-larochelle.fr"
"Europe","France","Lille","","","data.worldbank.org","www.epomm.eu","www.epomm.eu","","","","www.insee.fr","www.insee.fr","uk.transpole.fr","","www.nbrti.org bhns.fr","","www.nbrti.org bhns.fr"
"Europe","France","Lorient","","COST - European Cooperation in Science and Technology .","data.worldbank.org","www.epomm.eu","www.epomm.eu","COST - European Cooperation in Science and Technology .","COST - European Cooperation in Science and Technology .","","www.insee.fr","www.insee.fr","","","COST - European Cooperation in Science and Technology .","","COST - European Cooperation in Science and Technology ."
"Europe","France","Lyon","Calculated using annual demand and fare","www.nbrti.org","data.worldbank.org","www.epomm.eu","www.epomm.eu","ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010","","","www.insee.fr","www.insee.fr","www.lyonalacarte.com","","www.nbrti.org","","www.nbrti.org"
"Europe","France","Maubeuge","Calculated using annual demand and fare","www.nbrti.org","data.worldbank.org","www.epomm.eu","www.epomm.eu","","","","www.insee.fr","www.insee.fr","www.stibus.fr","","www.nbrti.org","","www.nbrti.org"
"Europe","France","Metz","Calculated using annual demand and fare","mettis.metzmetropole.fr","data.worldbank.org","Metz Mètropole","Metz Mètropole","Mettis","Mettis","","www.insee.fr","www.insee.fr","lemet.fr","Calculated using system length and stations","mettis.metzmetropole.fr","","mettis.metzmetropole.fr"
"Europe","France","Nancy","","www.nbrti.org","data.worldbank.org","www.epomm.eu","www.epomm.eu","CERTU 2010","CERTU","","www.insee.fr","www.insee.fr","","CERTU 2010","www.nbrti.org","","www.nbrti.org"
